run_dir,train_rows,val_rows,test_rows,tabular_dim,freeze_encoder,epochs,best_epoch,best_train_loss,best_train_balanced_accuracy,best_train_roc_auc,best_train_average_precision,best_val_loss,best_val_balanced_accuracy,best_val_roc_auc,best_val_average_precision,test_loss,test_balanced_accuracy,test_roc_auc,test_average_precision
PCRPredictionScripts/outputs/phase0_nnunet_pcr_classifier,460,116,99,19,True,30,1,0.9343303392762724,0.5734580734580734,0.58242376992377,0.3619399510080977,0.9191101825442808,0.6137529934998289,0.6640437906260691,0.4941482181419454,0.876380673261604,0.6217070600632244,0.6796628029504741,0.4698486764588695
PCRPredictionScripts/outputs/phase0_whole_image_pcr_classifier,600,151,166,19,True,30,19,0.8663245922823747,0.6383272058823529,0.6891850490196079,0.4819021767160005,0.8459704782789117,0.6544296116504854,0.7158171521035599,0.5577268520373961,0.8489069364157068,0.6391579731743666,0.6488450074515648,0.3835149440742838
