run_dir,train_rows,val_rows,test_rows,tabular_dim,freeze_encoder,random_init_encoder,architecture,image_only,roi_status,input_shape,resize_mode,test_result_file,epochs,best_epoch,best_train_loss,best_train_balanced_accuracy,best_train_roc_auc,best_train_average_precision,best_val_loss,best_val_balanced_accuracy,best_val_roc_auc,best_val_average_precision,test_checkpoint,test_checkpoint_epoch,test_average_precision,test_balanced_accuracy,test_loss,test_roc_auc
PCRPredictionScripts/outputs/stage2_oracle_roi_pretrained_nnunet,948,237,306,0,False,False,nnunet_encoder,True,expert_mask_roi,256x256x64,pad,test_evaluation.json,50,31,0.1286320516408346,0.9736712122839042,0.993310426285837,0.9884344034990402,1.725203622085384,0.6081780538302277,0.6431590752242926,0.4362862395163396,best.pt,31,0.3339702046138388,0.5167348175071937,2.2529014040795126,0.5438437074057246
PCRPredictionScripts/outputs/stage2_oracle_roi_scratch_nnunet,948,237,306,0,False,True,nnunet_encoder,True,expert_mask_roi,256x256x64,pad,test_evaluation.json,50,16,0.9805985835659856,0.4974820143884891,0.4822962525501987,0.2822565955071261,0.9771063088867736,0.5535714285714286,0.5937284334023465,0.395834073609297,best.pt,16,0.30071121490637664,0.43601393306073,0.9905710202806136,0.44787722752284315
PCRPredictionScripts/outputs/stage2_oracle_roi_swin3d_t,948,237,306,0,False,False,swin3d_t,True,expert_mask_roi,256x256x64,pad,test_evaluation.json,50,14,0.9862799297405196,0.4883818318479545,0.483391495758617,0.2872708567355664,0.9772542659743426,0.5170807453416149,0.5506383712905452,0.3574641416538948,best.pt,14,0.2905425143981835,0.49598667272451913,0.9906694088496414,0.463652885052249
