run_dir,train_rows,val_rows,test_rows,tabular_dim,freeze_encoder,random_init_encoder,architecture,image_only,roi_status,input_shape,resize_mode,epochs,best_epoch,best_train_loss,best_train_balanced_accuracy,best_train_roc_auc,best_train_average_precision,best_val_loss,best_val_balanced_accuracy,best_val_roc_auc,best_val_average_precision,test_loss,test_balanced_accuracy,test_roc_auc,test_average_precision
PCRPredictionScripts/outputs/phase1_mamamia_phase0_training_loop_smoke,948,237,306,0,False,True,nnunet_encoder,True,mamamia_phase0_whole_image,64x64x64,pad,1,1,0.7031995058059692,,,,0.6772175431251526,,,,0.6818175315856934,,,
PCRPredictionScripts/outputs/phase1_mamamia_phase0_swin3d_t_training_loop_smoke,948,237,306,0,False,False,swin3d_t,True,mamamia_phase0_whole_image,64x64x32,pad,1,1,0.6945896148681641,,,,0.0011568069458007,,,,0.001850128173828125,,,
