run_dir,train_rows,val_rows,test_rows,tabular_dim,freeze_encoder,random_init_encoder,architecture,image_only,roi_status,input_shape,resize_mode,test_result_file,epochs,best_epoch,best_train_loss,best_train_balanced_accuracy,best_train_roc_auc,best_train_average_precision,best_val_loss,best_val_balanced_accuracy,best_val_roc_auc,best_val_average_precision,test_checkpoint,test_checkpoint_epoch,test_average_precision,test_balanced_accuracy,test_loss,test_roc_auc
PCRPredictionScripts/outputs/phase1_mamamia_phase0_pretrained_finetune,948,237,306,0,False,False,nnunet_encoder,True,mamamia_phase0_whole_image,256x256x64,pad,best_on_test.json,50,45,0.151522025330393,0.9665145495543864,0.9906125845592184,0.970596310889792,2.5059837612170206,0.5238095238095238,0.5392943409247757,0.3183672912023283,best.pt,,0.2946165065523791,0.48076631834014844,3.1217816925662407,0.45534857892876973
PCRPredictionScripts/outputs/phase1_mamamia_phase0_scratch_finetune,948,237,306,0,False,True,nnunet_encoder,True,mamamia_phase0_whole_image,256x256x64,pad,best_on_test.json,50,13,0.9756668347723876,0.5211371201546225,0.5655454740685064,0.348038752237003,0.9758623058785868,0.5419254658385093,0.5490424430641822,0.3390854495240109,best.pt,,0.3032610261781899,0.4809934878085719,0.9910499377577913,0.50153970417487
PCRPredictionScripts/outputs/phase1_mamamia_phase0_swin3d_t,948,237,306,0,False,False,swin3d_t,True,mamamia_phase0_whole_image,256x256x64,pad,best_on_test.json,50,11,0.9821593215696922,0.5104692365510577,0.5104638677118007,0.315184009198811,0.9777232773193328,0.5,0.5575828157349897,0.3556986635060683,best.pt,,0.2989450815237059,0.5,0.9928863069979973,0.4858397698016053
