run_dir,probe,manifest,embeddings,usable_flag,selection_metric,best_c,selected_threshold_from_validation,num_embedding_features,official_train_final_fit,official_test,test_roc_auc,test_average_precision,test_balanced_accuracy,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tn,test_fp,test_fn,test_tp,test_roc_auc_0p5,test_average_precision_0p5,test_balanced_accuracy_0p5
Benchmarking/outputs/probes/jolia_cross_modality_expert_roi_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.488,576,1185,306,0.6717653591801707,0.4623465461395726,0.6148720278661215,0.6535947712418301,0.44036697247706424,0.5161290322580645,0.7136150234741784,0.4752475247524752,152,61,45,48,0.6717653591801707,0.4623465461395726,0.6165379373012267
Benchmarking/outputs/probes/jolia_cross_modality_expert_roi_phase2_minus_phase0_logreg,embedding_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.464,576,1185,306,0.5387450148922207,0.3346306963960904,0.5222626079054975,0.545751633986928,0.32575757575757575,0.46236559139784944,0.5821596244131455,0.38222222222222224,124,89,50,43,0.5387450148922207,0.3346306963960904,0.5292291382704831
Benchmarking/outputs/probes/jolia_cross_modality_whole_phase1_image_clinical_logreg,image_clinical_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase1/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,0.003,0.436,576,1185,306,0.6354182442324197,0.42377763950723923,0.5928365894290475,0.5849673202614379,0.38513513513513514,0.6129032258064516,0.5727699530516432,0.4730290456431535,122,91,36,57,0.6354182442324197,0.42377763950723923,0.575268817204301
Benchmarking/outputs/probes/jolia_cross_modality_whole_phase1_logreg,embedding_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase1/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,10.0,0.998,576,1185,306,0.4905346054823565,0.3052519127957518,0.47531425109798575,0.6111111111111112,0.24,0.12903225806451613,0.8215962441314554,0.16783216783216784,175,38,81,12,0.4905346054823565,0.3052519127957518,0.49424504013327275
Benchmarking/outputs/probes/jolia_cross_modality_whole_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,0.03,0.768,576,1185,306,0.6686354687263366,0.43087361920517114,0.5346812055126458,0.6895424836601307,0.4642857142857143,0.13978494623655913,0.9295774647887324,0.21487603305785125,198,15,80,13,0.6686354687263366,0.43087361920517114,0.5815538391640164
Benchmarking/outputs/probes/jolia_cross_modality_whole_phase2_minus_phase0_logreg,embedding_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,10.0,0.998,576,1185,306,0.488717249734969,0.32093377497891196,0.5146145691352415,0.6405228758169934,0.33962264150943394,0.1935483870967742,0.8356807511737089,0.2465753424657534,178,35,75,18,0.488717249734969,0.32093377497891196,0.5180978343177344
Benchmarking/outputs/probes/jolia_cross_modality_whole_selected_fusion_image_clinical_logreg,image_clinical_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_selected_fusion/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,3.0,0.01,1152,1185,306,0.6050784996718663,0.414439193935487,0.5508859609268515,0.5392156862745098,0.34615384615384615,0.5806451612903226,0.5211267605633803,0.43373493975903615,111,102,39,54,0.6050784996718663,0.414439193935487,0.5530062092988035
Benchmarking/outputs/probes/jolia_cross_modality_whole_selected_fusion_logreg,embedding_logistic_regression,/mnt/ssd2/Project/Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_selected_fusion/patient_embeddings.csv,usable_for_multiphase_or_subtraction_benchmark,average_precision,10.0,0.46,1152,1185,306,0.5508607198748043,0.3467813556398128,0.5550507345146145,0.6209150326797386,0.37894736842105264,0.3870967741935484,0.7230046948356808,0.3829787234042553,154,59,57,36,0.5508607198748043,0.3467813556398128,0.5573981523549901
