model,benchmark_group,crop,input,feature_set,clinical_data,test_roc_auc,test_average_precision,test_balanced_accuracy,test_recall_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_fp,test_fn,test_tn,selected_threshold_from_validation,best_c,num_embedding_features,official_train_final_fit,official_test,run_name,run_dir,embeddings
Curia,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,0.4193548387096774,0.7370892018779343,0.4105263157894737,0.4148936170212766,39,56,54,157,0.52,0.003,768.0,1185,306,curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv
Curia,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.60795597960523,0.4458450731776774,0.5464940178706649,0.2150537634408602,0.8779342723004695,0.4347826086956521,0.2877697841726618,20,26,73,187,0.562,0.001,1536.0,1185,306,curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_selected_fusion/patient_embeddings.csv
Curia,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6208289161492252,0.3998529138212682,0.6169922762380736,0.6236559139784946,0.6103286384976526,0.4113475177304964,0.4957264957264957,58,83,35,130,0.042,3.0,5376.0,1185,306,curia_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_all_dce_fusion/patient_embeddings.csv
Curia,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.6730274117825231,0.4432133365363474,0.581856731788581,0.3655913978494624,0.7981220657276995,0.4415584415584415,0.4,34,43,59,170,0.5660000000000001,0.01,768.0,1185,306,curia_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_phase1/patient_embeddings.csv
Curia,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.653086980665354,0.4450300129351885,0.5876874148114494,0.4946236559139785,0.6807511737089202,0.4035087719298245,0.4444444444444444,46,68,47,145,0.486,0.1,768.0,1185,306,curia_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_phase2_minus_phase0/patient_embeddings.csv
Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,0.5591397849462365,0.755868544600939,0.5,0.5279187817258884,52,52,41,161,0.494,0.001,768.0,1185,306,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.5474784189004998,0.3685709888357671,0.5195365742844161,0.4193548387096774,0.6197183098591549,0.325,0.3661971830985915,39,81,54,132,0.472,0.001,8064.0,1185,306,medsiglip_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/medsiglip_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_all_dce_fusion/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Last phase,Image-only,No,0.5929627946892827,0.3777763001477257,0.5461154020899591,0.8387096774193549,0.2535211267605634,0.3291139240506329,0.4727272727272727,78,159,15,54,0.172,0.1,1152.0,1185,306,medsiglip_whole_last_phase_logreg,Benchmarking/outputs/probes/medsiglip_whole_last_phase_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5605028017567772,0.3466346267238883,0.5422535211267605,0.6666666666666666,0.4178403755868544,0.3333333333333333,0.4444444444444444,62,124,31,89,0.396,0.003,1152.0,1185,306,medsiglip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 0,Image-only,No,0.5406128527437024,0.3305397482970978,0.540966227472361,0.3870967741935484,0.6948356807511737,0.3564356435643564,0.3711340206185567,36,65,57,148,0.582,0.3,1152.0,1185,306,medsiglip_whole_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 1,Image-only,No,0.542985511636125,0.3659143813809171,0.5330152960775405,0.1505376344086021,0.9154929577464788,0.4375,0.224,14,18,79,195,0.998,10.0,1152.0,1185,306,medsiglip_whole_phase1_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase1_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase1/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.5869049421979908,0.362774383527202,0.5617143722550355,0.6774193548387096,0.4460093896713615,0.3480662983425414,0.4598540145985401,63,118,30,95,0.31,0.03,1152.0,1185,306,medsiglip_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase1_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 2,Image-only,No,0.5902367610682013,0.3894422081938275,0.5421777979706195,0.2580645161290322,0.8262910798122066,0.3934426229508196,0.3116883116883117,24,37,69,176,0.756,0.3,1152.0,1185,306,medsiglip_whole_phase2_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase2_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase2/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.584936140138321,0.3904307119181051,0.54354081478116,0.2795698924731182,0.8075117370892019,0.3880597014925373,0.325,26,41,67,172,0.812,3.0,1152.0,1185,306,medsiglip_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase2_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.5455096168408299,0.3713336871579309,0.5292291382704831,0.3870967741935484,0.6713615023474179,0.3396226415094339,0.3618090452261306,36,70,57,143,0.51,0.001,4608.0,1185,306,medsiglip_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/medsiglip_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_raw_phases_fusion/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.5650461911252461,0.3469947350349137,0.5548992882023323,0.5698924731182796,0.539906103286385,0.3509933774834437,0.4344262295081967,53,98,40,115,0.434,0.001,3456.0,1185,306,medsiglip_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/medsiglip_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_subtractions_fusion/patient_embeddings.csv
MedSigLIP,Image-only,Expert ROI,Phase 1,Image-only,No,0.5761017719218537,0.3792986570816408,0.5512645767075571,0.2903225806451613,0.812206572769953,0.4029850746268656,0.3375,27,40,66,173,0.6,0.01,1152.0,1185,306,medsiglip_expert_roi_phase1_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase1/patient_embeddings.csv
MedSigLIP,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6213842192942602,0.4033640948450224,0.5650461911252461,0.3225806451612903,0.8075117370892019,0.4225352112676056,0.3658536585365853,30,41,63,172,0.55,0.001,1152.0,1185,306,medsiglip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase2_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.618708667777273,0.4037284274945059,0.5778434045131001,0.3763440860215054,0.7793427230046949,0.4268292682926829,0.4,35,47,58,166,0.554,0.003,2304.0,1185,306,medsiglip_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/medsiglip/expert_roi_selected_fusion/patient_embeddings.csv
MedSigLIP,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6385986167903478,0.4258362840088211,0.6212327729819779,0.8387096774193549,0.4037558685446009,0.3804878048780488,0.5234899328859061,78,127,15,86,0.166,0.01,8064.0,1185,306,medsiglip_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/medsiglip_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_all_dce_fusion/patient_embeddings.csv
MedSigLIP,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.7055378868191227,0.4833656268332964,0.5794335907920642,0.2903225806451613,0.8685446009389671,0.4909090909090909,0.3648648648648648,27,28,66,185,0.5640000000000001,0.003,1152.0,1185,306,medsiglip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase1/patient_embeddings.csv
MedSigLIP,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.6989247311827957,0.4819205952885352,0.6316825685294563,0.5591397849462365,0.704225352112676,0.4521739130434782,0.5,52,63,41,150,0.442,0.03,1152.0,1185,306,medsiglip_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase2_minus_phase0/patient_embeddings.csv
MedSigLIP,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7027613710939472,0.4807548926201415,0.6528850522489777,0.6344086021505376,0.6713615023474179,0.4573643410852713,0.5315315315315315,59,70,34,143,0.414,0.03,1152.0,1185,306,medsiglip_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase2_minus_phase0/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.5698419910141854,0.3876867291583245,0.5557322429198849,0.7311827956989247,0.380281690140845,0.34,0.4641638225255973,68,132,25,81,0.286,0.001,14336.0,1185,306,radimagenet_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/radimagenet_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_all_dce_fusion/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Last phase,Image-only,No,0.5823615528295218,0.3839808544213706,0.5262002120248372,0.3763440860215054,0.676056338028169,0.3365384615384615,0.3553299492385787,35,69,58,144,0.494,0.003,2048.0,1185,306,radimagenet_whole_last_phase_logreg,Benchmarking/outputs/probes/radimagenet_whole_last_phase_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_last_phase/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5505578272502398,0.3430110584656228,0.52506436468272,0.5806451612903226,0.4694835680751174,0.3233532934131736,0.4153846153846154,54,113,39,100,0.414,0.001,2048.0,1185,306,radimagenet_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_last_phase_minus_phase0/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Phase 0,Image-only,No,0.5282952193447423,0.3464224123298501,0.5304407087687415,0.5913978494623656,0.4694835680751174,0.3273809523809524,0.421455938697318,55,113,38,100,0.024,3.0,2048.0,1185,306,radimagenet_whole_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase0_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase0/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Phase 1,Image-only,No,0.5279923267201776,0.3352001097687856,0.5177192185370286,0.2795698924731182,0.755868544600939,0.3333333333333333,0.3040935672514619,26,52,67,161,0.584,10.0,2048.0,1185,306,radimagenet_whole_phase1_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase1_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase1/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.5857438538038265,0.3518948165648926,0.5513402998636983,0.3655913978494624,0.7370892018779343,0.3777777777777777,0.3715846994535519,34,56,59,157,0.534,3.0,2048.0,1185,306,radimagenet_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase1_minus_phase0/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Phase 2,Image-only,No,0.600282699782927,0.3957962192909252,0.5223383310616386,0.2043010752688172,0.8403755868544601,0.3584905660377358,0.2602739726027397,19,34,74,179,0.614,0.01,2048.0,1185,306,radimagenet_whole_phase2_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase2/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.6190115604018375,0.395832967514653,0.5930637588974709,0.5053763440860215,0.6807511737089202,0.408695652173913,0.4519230769230769,47,68,46,145,0.47,0.003,2048.0,1185,306,radimagenet_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase2_minus_phase0/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.4971477611186834,0.300759855766346,0.4910646675753445,0.1182795698924731,0.863849765258216,0.275,0.1654135338345864,11,29,82,184,0.994,10.0,8192.0,1185,306,radimagenet_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/radimagenet_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_raw_phases_fusion/patient_embeddings.csv
RadImageNet,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.6040688575899844,0.375800282479835,0.5823110707254279,0.4838709677419355,0.6807511737089202,0.3982300884955752,0.4368932038834951,45,68,48,145,0.444,0.001,6144.0,1185,306,radimagenet_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/radimagenet_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_subtractions_fusion/patient_embeddings.csv
RadImageNet,Image-only,Expert ROI,Phase 1,Image-only,No,0.5293553435307183,0.3237642311156158,0.5088596092685143,0.1397849462365591,0.8779342723004695,0.3333333333333333,0.1969696969696969,13,26,80,187,0.592,0.001,2048.0,1185,306,radimagenet_expert_roi_phase1_logreg,Benchmarking/outputs/probes/radimagenet_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/radimagenet/expert_roi_phase1/patient_embeddings.csv
RadImageNet,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5648947448129638,0.3505693044240825,0.5142359533545359,0.1505376344086021,0.8779342723004695,0.35,0.2105263157894736,14,26,79,187,0.5660000000000001,0.001,2048.0,1185,306,radimagenet_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radimagenet/expert_roi_phase2_minus_phase0/patient_embeddings.csv
RadImageNet,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.5309202887576354,0.3085038192433537,0.4876571255489929,0.064516129032258,0.9107981220657276,0.24,0.1016949152542373,6,19,87,194,0.638,0.001,4096.0,1185,306,radimagenet_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/radimagenet_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/radimagenet/expert_roi_selected_fusion/patient_embeddings.csv
RadImageNet,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.602857287091726,0.4135411764284322,0.5711797667726791,0.7526881720430108,0.3896713615023474,0.35,0.4778156996587031,70,130,23,83,0.272,0.001,14336.0,1185,306,radimagenet_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/radimagenet_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_all_dce_fusion/patient_embeddings.csv
RadImageNet,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.6421323640769347,0.4336829648310461,0.6058609722853248,0.5591397849462365,0.6525821596244131,0.4126984126984127,0.4748858447488584,52,74,41,139,0.348,0.03,2048.0,1185,306,radimagenet_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase1/patient_embeddings.csv
RadImageNet,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.7246201221666919,0.5101870958526358,0.6807511737089202,0.6666666666666666,0.6948356807511737,0.4881889763779528,0.5636363636363636,62,65,31,148,0.406,0.01,2048.0,1185,306,radimagenet_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/radimagenet/whole_phase2_minus_phase0/patient_embeddings.csv
RadImageNet,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.6512696249179666,0.408296574755674,0.5677722247463275,0.3655913978494624,0.7699530516431925,0.4096385542168674,0.3863636363636363,34,49,59,164,0.486,0.003,2048.0,1185,306,radimagenet_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radimagenet_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/radimagenet/expert_roi_phase2_minus_phase0/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Phase 1,Cross-modality image + clinical,Yes,0.6354182442324197,0.4237776395072392,0.5928365894290475,0.6129032258064516,0.5727699530516432,0.3851351351351351,0.4730290456431535,57,91,36,122,0.436,0.003,576.0,1185,306,jolia_cross_modality_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase1/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Phase 1,Cross-modality image-only,No,0.4905346054823565,0.3052519127957518,0.4753142510979857,0.1290322580645161,0.8215962441314554,0.24,0.1678321678321678,12,38,81,175,0.998,10.0,576.0,1185,306,jolia_cross_modality_whole_phase1_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_phase1_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase1/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Phase 2 - phase 0,Cross-modality image + clinical,Yes,0.6686354687263366,0.4308736192051711,0.5346812055126458,0.1397849462365591,0.9295774647887324,0.4642857142857143,0.2148760330578512,13,15,80,198,0.768,0.03,576.0,1185,306,jolia_cross_modality_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase2_minus_phase0/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Phase 2 - phase 0,Cross-modality image-only,No,0.488717249734969,0.3209337749789119,0.5146145691352415,0.1935483870967742,0.8356807511737089,0.3396226415094339,0.2465753424657534,18,35,75,178,0.998,10.0,576.0,1185,306,jolia_cross_modality_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_phase2_minus_phase0/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Selected phase fusion,Cross-modality image + clinical,Yes,0.6050784996718663,0.414439193935487,0.5508859609268515,0.5806451612903226,0.5211267605633803,0.3461538461538461,0.4337349397590361,54,102,39,111,0.01,3.0,1152.0,1185,306,jolia_cross_modality_whole_selected_fusion_image_clinical_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_selected_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_selected_fusion/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Whole volume,Selected phase fusion,Cross-modality image-only,No,0.5508607198748043,0.3467813556398128,0.5550507345146145,0.3870967741935484,0.7230046948356808,0.3789473684210526,0.3829787234042553,36,59,57,154,0.46,10.0,1152.0,1185,306,jolia_cross_modality_whole_selected_fusion_logreg,Benchmarking/outputs/probes/jolia_cross_modality_whole_selected_fusion_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/whole_selected_fusion/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Expert ROI,Phase 2 - phase 0,Cross-modality image + clinical,Yes,0.6717653591801707,0.4623465461395726,0.6148720278661215,0.5161290322580645,0.7136150234741784,0.4403669724770642,0.4752475247524752,48,61,45,152,0.488,0.003,576.0,1185,306,jolia_cross_modality_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/jolia_cross_modality_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/expert_roi_phase2_minus_phase0/patient_embeddings.csv
Jolia (CT-to-MRI stress test),Cross-modality stress test,Expert ROI,Phase 2 - phase 0,Cross-modality image-only,No,0.5387450148922207,0.3346306963960904,0.5222626079054975,0.4623655913978494,0.5821596244131455,0.3257575757575757,0.3822222222222222,43,89,50,124,0.464,0.003,576.0,1185,306,jolia_cross_modality_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/jolia_cross_modality_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/jolia_cross_modality/expert_roi_phase2_minus_phase0/patient_embeddings.csv
