model,benchmark_group,crop,input,feature_set,clinical_data,test_roc_auc,test_average_precision,test_balanced_accuracy,test_recall_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_fp,test_fn,test_tn,selected_threshold_from_validation,best_c,num_embedding_features,official_train_final_fit,official_test,run_name,run_dir,embeddings
Pillar-0 BreastMRI,Image + clinical,Expert ROI,Phase 0 + phase 1 + last phase,Image + clinical,Yes,0.641223686203241,0.4806208029355442,0.5924579736483417,0.5698924731182796,0.6150234741784038,0.3925925925925926,0.4649122807017544,53,82,40,131,0.452,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_phase0_phase1_last_image_clinical_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase1_last_image_clinical_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_phase0_phase1_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image + clinical,Expert ROI,Subtraction triplet,Image + clinical,Yes,0.6310767832803271,0.457130672236171,0.5851885506587915,0.6774193548387096,0.4929577464788732,0.3684210526315789,0.4772727272727273,63,108,30,105,0.392,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_subtractions_phase1_phase2_last_image_clinical_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_subtractions_phase1_phase2_last_image_clinical_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_subtractions_phase1_phase2_last/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.5483366146700995,0.350849337547167,0.5415720127214902,0.6559139784946236,0.4272300469483568,0.3333333333333333,0.4420289855072464,61,122,32,91,0.398,0.001,2688.0,1185,306,radiodino_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/radiodino_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/whole_all_dce_fusion/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Last phase,Image-only,No,0.4673633197031653,0.2840988257172545,0.501514463122823,0.8387096774193549,0.1643192488262911,0.3046875,0.4469914040114613,78,178,15,35,0.024,10.0,384.0,1185,306,radiodino_whole_last_phase_logreg,Benchmarking/outputs/probes/radiodino_whole_last_phase_logreg,Benchmarking/outputs/embeddings/radiodino/whole_last_phase/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5295067898430007,0.3217146055661499,0.5442980463425715,0.3655913978494624,0.7230046948356808,0.3655913978494624,0.3655913978494624,34,59,59,154,0.522,0.001,384.0,1185,306,radiodino_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_last_phase_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 0,Image-only,No,0.5366752486243627,0.3429052096847432,0.5146145691352415,0.1935483870967742,0.8356807511737089,0.3396226415094339,0.2465753424657534,18,35,75,178,0.5740000000000001,0.003,384.0,1185,306,radiodino_whole_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 1,Image-only,No,0.5466202231309001,0.3643441218068591,0.5283961835529305,0.2258064516129032,0.8309859154929577,0.3684210526315789,0.28,21,36,72,177,0.548,0.003,384.0,1185,306,radiodino_whole_phase1_logreg,Benchmarking/outputs/probes/radiodino_whole_phase1_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase1/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.5283457014488364,0.3526880587670031,0.512267151294866,0.5268817204301075,0.4976525821596244,0.3141025641025641,0.393574297188755,49,107,44,106,0.412,0.1,384.0,1185,306,radiodino_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase1_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 2,Image-only,No,0.4886162855267807,0.2959286366895908,0.4878085718612752,0.8817204301075269,0.0938967136150234,0.2981818181818181,0.4456521739130434,82,193,11,20,0.006,10.0,384.0,1185,306,radiodino_whole_phase2_logreg,Benchmarking/outputs/probes/radiodino_whole_phase2_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase2/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.548639507294664,0.3269572810867655,0.5534605482356505,0.8064516129032258,0.3004694835680751,0.3348214285714285,0.473186119873817,75,149,18,64,0.082,3.0,384.0,1185,306,radiodino_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase2_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.5230955626230501,0.3416528353063173,0.5219597152809329,0.1612903225806451,0.8826291079812206,0.375,0.225563909774436,15,25,78,188,0.59,0.001,1536.0,1185,306,radiodino_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/radiodino_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/whole_raw_phases_fusion/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.5258215962441314,0.3538232926015317,0.5126457670755717,0.2365591397849462,0.7887323943661971,0.3283582089552239,0.275,22,45,71,168,0.96,10.0,1152.0,1185,306,radiodino_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/radiodino_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/whole_subtractions_fusion/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Phase 1,Image-only,No,0.5457115452572063,0.37590359898977,0.5220354384370741,0.5698924731182796,0.4741784037558685,0.3212121212121212,0.4108527131782946,53,112,40,101,0.428,0.003,384.0,1185,306,radiodino_expert_roi_phase1_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase1/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5730728456762078,0.3870210360841036,0.5535362713917915,0.5483870967741935,0.5586854460093896,0.3517241379310344,0.4285714285714285,51,94,42,119,0.476,0.001,384.0,1185,306,radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase2_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.5557070018678378,0.3635927411431334,0.5356656065424806,0.4516129032258064,0.6197183098591549,0.3414634146341463,0.3888888888888889,42,81,51,132,0.476,0.001,768.0,1185,306,radiodino_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_selected_fusion/patient_embeddings.csv
RadioDINO,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6144681710333686,0.4053459136445118,0.602301983946691,0.6881720430107527,0.5164319248826291,0.3832335329341317,0.4923076923076923,64,103,29,110,0.308,0.01,2688.0,1185,306,radiodino_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/whole_all_dce_fusion/patient_embeddings.csv
RadioDINO,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.6399111514967943,0.4068823336719138,0.5924579736483417,0.5698924731182796,0.6150234741784038,0.3925925925925926,0.4649122807017544,53,82,40,131,0.312,1.0,384.0,1185,306,radiodino_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase1/patient_embeddings.csv
